,sectors,sector_budgets,type_project,budget_project,startday_project,start_year,start_month,enddate_project,end_year,end_month,duration_project,project_area,region_project,status_project
0, Commercial,1058790791316,Commercial,335000000.0,2019-07-03,2019.0,7.0,2021-12-31,2021.0,12.0,912.0,7752.0,ALDAMMAM,Under the construction
1, Commercial,1058790791316,"Commercial, Residential",,2010-01-01,2010.0,1.0,,,,,8000.0,RIYADH,Under the construction
2, Commercial,1058790791316,"Commercial, Residential",1178000000.0,2009-01-01,2009.0,1.0,2014-12-31,2014.0,12.0,2190.0,19500.0,RIYADH,Complete
3, Commercial,1058790791316,Commercial,,,,,,,,,19888.0,ALHASSA,Announced
4, Commercial,1058790791316,"Hotel, Commercial",120000000.0,2019-06-01,2019.0,6.0,2022-03-31,2022.0,3.0,1034.0,3651.0,JEDDAH,Under the construction
5, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,4100.0,RIYADH,Suggested projects
6, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,,JEDDAH,Suggested projects
7, Commercial,1058790791316,"Hotel, Commercial, Industrial",,,,,,,,,163000.0,RIYADH,Suggested projects
8, Commercial,1058790791316,"Hotel, Commercial",50000000.0,,,,,,,,7940.0,ALTAIF,Suggested projects
9, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,8759.0,JEDDAH,Announced
10, Commercial,1058790791316,Commercial,,,,,,,,,7000.0,JEDDAH,Suggested projects
11, Commercial,1058790791316,"Hotel, Commercial",,2017-03-01,2017.0,3.0,,,,,15252.0,ALTAIF,Under the construction
12, Commercial,1058790791316,"Hotel, Commercial, Tourist, Scientific",,,,,,,,,,KING ABDULLAH CITY,Suggested projects
13, Commercial,1058790791316,Commercial,,2016-07-01,2016.0,7.0,,,,,17344.0,RIYADH,Under the construction
14, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,ABHA,Suggested projects
15, Commercial,1058790791316,Commercial,,,,,,,,,,ABHA,Suggested projects
16, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Suggested projects
17, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,9600.0,JEDDAH,Announced
18, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,JEDDAH,Announced
19, Commercial,1058790791316,Commercial,,,,,,,,,,ABHA,Announced
20, Commercial,1058790791316,Commercial,,2018-07-01,2018.0,7.0,2019-09-30,2019.0,9.0,456.0,5400.0,ABHA,Under the construction
21, Commercial,1058790791316,Commercial,,2017-03-25,2017.0,3.0,,,,,4744.0,ALDAMMAM,Under the construction
22, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Suggested projects
23, Commercial,1058790791316,"Hotel, Commercial",,2016-07-01,2016.0,7.0,,,,,5000.0,NAJRAN,Under the construction
24, Commercial,1058790791316,"Hotel, Commercial, Tourist",,,,,,,,,278709.0,RIYADH,Suggested projects
25, Commercial,1058790791316,Commercial,,,,,,,,,1600.0,JEDDAH,Announced
26, Commercial,1058790791316,Commercial,,2018-10-17,2018.0,10.0,,,,,20000.0,MECCA,Under the construction
27, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,RIYADH,Suggested projects
28, Commercial,1058790791316,Commercial,,2018-06-01,2018.0,6.0,2019-03-31,2019.0,3.0,303.0,4400.0,ALKHOBAR,Late
29, Commercial,1058790791316,Commercial,,,,,,,,,96000.0,RIYADH,Announced
30, Commercial,1058790791316,Commercial,8000000.0,2018-11-01,2018.0,11.0,,,,,12000.0,ALDAMMAM,Under the construction
31, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,62000.0,KING ABDULLAH CITY,Suggested projects
32, Commercial,1058790791316,Commercial,,2015-07-01,2015.0,7.0,2019-03-31,2019.0,3.0,1369.0,9700.0,RIYADH,Late
33, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,4040.0,RIYADH,Announced
34, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Announced
35, Commercial,1058790791316,Commercial,,2016-06-01,2016.0,6.0,,,,,4000.0,RIYADH,Under the construction
36, Commercial,1058790791316,Commercial,,2018-06-01,2018.0,6.0,,,,,52600.0,ALKHOBAR,Under the construction
37, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,2500.0,JEDDAH,Suggested projects
38, Commercial,1058790791316,Commercial,,,,,,,,,,BRAIDAH,Suggested projects
39, Commercial,1058790791316,"Hotel, Commercial",,2017-11-01,2017.0,11.0,,,,,11000.0,RIYADH,Under the construction
40, Commercial,1058790791316,"Hotel, Commercial",,2013-10-01,2013.0,10.0,,,,,5500.0,BISHA,Under the construction
41, Commercial,1058790791316,"Commercial, Residential, Industrial",,2017-05-01,2017.0,5.0,,,,,1700000.0,RIYADH,Under the construction
42, Commercial,1058790791316,"Commercial, Industrial",,2017-03-01,2017.0,3.0,,,,,250000.0,RIYADH,Under the construction
43, Commercial,1058790791316,Commercial,,,,,,,,,2747.0,JEDDAH,Announced
44, Commercial,1058790791316,Commercial,,,,,,,,,4731.0,JEDDAH,Announced
45, Commercial,1058790791316,"Hotel, Infrastructure, Commercial, Tourist, Governmental",,,,,,,,,17000000.0,ABHA,Suggested projects
46, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,32645.0,KING ABDULLAH CITY,Announced
47, Commercial,1058790791316,"Hotel, Commercial, Residential",206250000.0,2017-02-01,2017.0,2.0,,,,,18213.0,ABHA,Under the construction
48, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,9500.0,JEDDAH,Announced
49, Commercial,1058790791316,"Commercial, Residential",,2019-01-01,2019.0,1.0,,,,,9000000.0,ALTAIF,Under the construction
50, Commercial,1058790791316,Commercial,18750000.0,,,,,,,,8000.0,ALKHOBAR,Suggested projects
51, Commercial,1058790791316,"Hotel, Infrastructure, Commercial, Tourist, Charity, Residential",,,,,,,,,7541130.0,MECCA,Announced
52, Commercial,1058790791316,"Hotel, Commercial",,2018-06-02,2018.0,6.0,2021-10-06,2021.0,10.0,1222.0,3989.0,MECCA,Under the construction
53, Commercial,1058790791316,"Hotel, Commercial",,2017-11-30,2017.0,11.0,2019-12-31,2019.0,12.0,761.0,8300.0,ALDAMMAM,Under the construction
54, Commercial,1058790791316,Commercial,,,,,,,,,8479.0,RIYADH,Under the construction
55, Commercial,1058790791316,"Commercial, Tourist",,2017-08-03,2017.0,8.0,2018-12-31,2018.0,12.0,515.0,13000.0,JEDDAH,Late
56, Commercial,1058790791316,Commercial,,,,,,,,,2500.0,JEDDAH,Suggested projects
57, Commercial,1058790791316,Commercial,,2018-04-18,2018.0,4.0,,,,,,BALJURASHI,Under the construction
58, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,40391.0,KING ABDULLAH CITY,Announced
59, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,405898.0,MECCA,Suggested projects
60, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,15000.0,JEDDAH,Announced
61, Commercial,1058790791316,Commercial,,,,,,,,,8800.0,RIYADH,Announced
62, Commercial,1058790791316,Commercial,,,,,,,,,,RIYADH,Under the construction
63, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,207212.0,JAZAN,Announced
64, Commercial,1058790791316,"Commercial, Tourist",,,,,,,,,105000.0,SHARMA,Announced
65, Commercial,1058790791316,Commercial,,,,,,,,,,RIYADH,Under the construction
66, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,RIYADH,Under the construction
67, Commercial,1058790791316,"Infrastructure, Commercial",600000000.0,2013-07-03,2013.0,7.0,,,,,,KING ABDULLAH CITY,Announced
68, Commercial,1058790791316,"Commercial, Residential",112500000.0,,,,,,,,30000.0,ALTAIF,Suggested projects
69, Commercial,1058790791316,Commercial,,2016-11-01,2016.0,11.0,2017-12-31,2017.0,12.0,425.0,7759.0,RIYADH,Complete
70, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,17000.0,JEDDAH,Suggested projects
71, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,20000.0,JEDDAH,Announced
72, Commercial,1058790791316,Commercial,,2017-12-01,2017.0,12.0,,,,,28800.0,JEDDAH,Under the construction
73, Commercial,1058790791316,Commercial,,,,,,,,,11600.0,JEDDAH,Suggested projects
74, Commercial,1058790791316,"Hotel, Commercial",,2016-05-01,2016.0,5.0,,,,,,MEDINA,Under the construction
75, Commercial,1058790791316,Commercial,,2017-03-23,2017.0,3.0,2018-10-06,2018.0,10.0,562.0,8500.0,MEDINA,Late
76, Commercial,1058790791316,"Hotel, Commercial",,2013-01-01,2013.0,1.0,,,,,,ALHASSA,Under the construction
77, Commercial,1058790791316,Commercial,45000000.0,2014-02-01,2014.0,2.0,,,,,1500.0,JEDDAH,Under the construction
78, Commercial,1058790791316,Commercial,,,,,,,,,15700.0,ALKHOBAR,Announced
79, Commercial,1058790791316,Commercial,,,,,,,,,7000.0,RIYADH,Under the construction
80, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,380000.0,ALDAMMAM,Announced
81, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,140000.0,RIYADH,Announced
82, Commercial,1058790791316,"Hotel, Commercial",150000000.0,,,,,,,,3563.0,JEDDAH,Announced
83, Commercial,1058790791316,"Hotel, Infrastructure, Commercial, Tourist, Residential",,,,,,,,,3600000.0,JEDDAH,Announced
84, Commercial,1058790791316,Commercial,,,,,,,,,10000.0,RIYADH,Under the construction
85, Commercial,1058790791316,"Hotel, Infrastructure, Commercial, Tourist, Sports, Residential",,2018-04-29,2018.0,4.0,,,,,334000000.0,QIDDIYA,Under the construction
86, Commercial,1058790791316,Commercial,150000000.0,,,,,,,,,ALKHOBAR,Announced
87, Commercial,1058790791316,"Commercial, Tourist",,,,,,,,,104000.0,JEDDAH,Announced
88, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,78000.0,RIYADH,Under the construction
89, Commercial,1058790791316,"Commercial, Tourist",,2019-05-01,2019.0,5.0,2020-12-31,2020.0,12.0,610.0,37917.0,JEDDAH,Under the construction
90, Commercial,1058790791316,"Commercial, Tourist",,2017-06-01,2017.0,6.0,,,,,9700.0,JEDDAH,Under the construction
91, Commercial,1058790791316,Commercial,,,,,,,,,97016.0,JEDDAH,Announced
92, Commercial,1058790791316,Commercial,,2016-01-01,2016.0,1.0,,,,,,ALKHOBAR,Under the construction
93, Commercial,1058790791316,Commercial,,,,,,,,,10800.0,RIYADH,Complete
94, Commercial,1058790791316,Commercial,,,,,2018-01-01,2018.0,1.0,,21000.0,ALKHOBAR,Complete
95, Commercial,1058790791316,Commercial,,,,,,,,,15000.0,AL-JUBAIL,Complete
96, Commercial,1058790791316,Commercial,,,,,,,,,11206.0,RIYADH,Announced
97, Commercial,1058790791316,Commercial,,,,,,,,,2500.0,JEDDAH,Under the construction
98, Commercial,1058790791316,Commercial,,,,,,,,,25755.0,RIYADH,Announced
99, Commercial,1058790791316,Commercial,,,,,,,,,23736.0,ALTAIF,Announced
100, Commercial,1058790791316,Commercial,,,,,,,,,21585.0,RIYADH,Under the construction
101, Commercial,1058790791316,"Commercial, Health",500000000.0,2014-10-23,2014.0,10.0,2019-06-15,2019.0,6.0,1696.0,14500.0,RIYADH,Late
102, Commercial,1058790791316,Commercial,,2014-01-01,2014.0,1.0,2016-04-28,2016.0,4.0,848.0,21000.0,ALDAMMAM,Complete
103, Commercial,1058790791316,Commercial,18000000.0,2018-04-01,2018.0,4.0,2019-04-01,2019.0,4.0,365.0,,ALKHOBAR,Announced
104, Commercial,1058790791316,"Hotel, Commercial",153000000.0,,,,,,,,17000.0,JEDDAH,Under the construction
105, Commercial,1058790791316,"Commercial, Residential",115780000.0,2016-07-01,2016.0,7.0,2019-05-31,2019.0,5.0,1064.0,25570.0,RIYADH,Complete
106, Commercial,1058790791316,"Commercial, Health",2000000000.0,,,,,,,,46000.0,RIYADH,Announced
107, Commercial,1058790791316,"Commercial, Residential",538283964.0,2010-11-01,2010.0,11.0,,,,,408000.0,RIYADH,Under the construction
108, Commercial,1058790791316,"Hotel, Commercial, Residential",,2017-08-01,2017.0,8.0,,,,,,JEDDAH,Under the construction
109, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,42000.0,ALKHOBAR,Announced
110, Commercial,1058790791316,"Commercial, Educational",,,,,,,,,64155.0,ALDAMMAM,Under the construction
111, Commercial,1058790791316,Commercial,,2009-07-01,2009.0,7.0,2016-05-31,2016.0,5.0,2526.0,59970.0,JEDDAH,Complete
112, Commercial,1058790791316,Commercial,,2017-05-01,2017.0,5.0,,,,,,RIYADH,Under the construction
113, Commercial,1058790791316,Commercial,,,,,2018-06-01,2018.0,6.0,,13000.0,RIYADH,Late
114, Commercial,1058790791316,"Hotel, Commercial, Residential",218000000.0,,,,,,,,,ALBAHA,Announced
115, Commercial,1058790791316,"Commercial, Residential",,2017-09-01,2017.0,9.0,,,,,4787.0,JEDDAH,Under the construction
116, Commercial,1058790791316,Commercial,,,,,,,,,2400.0,RIYADH,Under the construction
117, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,JEDDAH,Suggested projects
118, Commercial,1058790791316,"Hotel, Infrastructure, Commercial, Residential",,,,,2024-12-31,2024.0,12.0,,854000.0,MECCA,Announced
119, Commercial,1058790791316,Commercial,,,,,,,,,,ALBAHA,Suggested projects
120, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,74500.0,MECCA,Announced
121, Commercial,1058790791316,Commercial,,2015-08-11,2015.0,8.0,,,,,,JEDDAH,Under the construction
122, Commercial,1058790791316,"Hotel, Commercial",,2016-07-01,2016.0,7.0,,,,,6000.0,RIYADH,Under the construction
123, Commercial,1058790791316,"Commercial, Tourist",,,,,,,,,344328.0,JEDDAH,Announced
124, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,,JEDDAH,Suggested projects
125, Commercial,1058790791316,Commercial,,,,,,,,,2000.0,MECCA,Announced
126, Commercial,1058790791316,Commercial,,2017-01-01,2017.0,1.0,2017-12-31,2017.0,12.0,364.0,,BRAIDAH,Complete
127, Commercial,1058790791316,Commercial,,2016-05-01,2016.0,5.0,,,,,11000.0,ALDAMMAM,Under the construction
128, Commercial,1058790791316,Commercial,,2017-07-01,2017.0,7.0,,,,,18000.0,ALKHOBAR,Under the construction
129, Commercial,1058790791316,"Commercial, Charity, Residential",,,,,,,,,8000.0,JEDDAH,Announced
130, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,,JEDDAH,Under the construction
131, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,,JEDDAH,Suggested projects
132, Commercial,1058790791316,Commercial,,,,,,,,,17000.0,UNAYZAH,Announced
133, Commercial,1058790791316,Commercial,,,,,,,,,,ARAR,Announced
134, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,ALKHOBAR,Under the construction
135, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,50000.0,JEDDAH,Announced
136, Commercial,1058790791316,Commercial,,,,,,,,,3731.0,RIYADH,Announced
137, Commercial,1058790791316,"Commercial, Educational, Charity, Residential, Health",4000000000.0,2006-10-01,2006.0,10.0,,,,,600000.0,BRAIDAH,Under the construction
138, Commercial,1058790791316,"Commercial, Tourist",,2017-06-01,2017.0,6.0,,,,,8500.0,JEDDAH,Under the construction
139, Commercial,1058790791316,"Hotel, Commercial, Governmental, Health",,,,,,,,,114000.0,JEDDAH,Announced
140, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,60000.0,KING ABDULLAH CITY,Announced
141, Commercial,1058790791316,"Hotel, Commercial",,,,,2019-12-31,2019.0,12.0,,2200.0,JEDDAH,Announced
142, Commercial,1058790791316,Commercial,,,,,,,,,11000.0,RIYADH,Announced
143, Commercial,1058790791316,"Hotel, Commercial",,,,,2019-12-31,2019.0,12.0,,1200.0,JEDDAH,Under the construction
144, Commercial,1058790791316,"Hotel, Commercial",,,,,2019-12-31,2019.0,12.0,,,JEDDAH,Announced
145, Commercial,1058790791316,"Hotel, Commercial",,,,,2020-12-31,2020.0,12.0,,3200.0,RIYADH,Announced
146, Commercial,1058790791316,"Hotel, Infrastructure, Commercial, Tourist, Governmental, Residential, Health",,,,,,,,,460000.0,MECCA,Announced
147, Commercial,1058790791316,"Hotel, Infrastructure, Commercial, Residential",,,,,,,,,420000.0,MECCA,Announced
148, Commercial,1058790791316,"Hotel, Commercial",,,,,2018-12-31,2018.0,12.0,,42000.0,WAAD ALSHAMAL,Late
149, Commercial,1058790791316,Commercial,,2016-01-01,2016.0,1.0,,,,,17187.0,RIYADH,Under the construction
150, Commercial,1058790791316,Commercial,,2012-08-01,2012.0,8.0,2015-12-31,2015.0,12.0,1247.0,14500.0,JEDDAH,Complete
151, Commercial,1058790791316,"Hotel, Commercial",,2016-01-20,2016.0,1.0,,,,,2200.0,ALDAMMAM,Under the construction
152, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,,JEDDAH,Suggested projects
153, Commercial,1058790791316,"Hotel, Commercial, Charity",1000000000.0,2005-03-01,2005.0,3.0,2009-12-31,2009.0,12.0,1766.0,22000.0,MECCA,Complete
154, Commercial,1058790791316,"Hotel, Commercial",,2015-09-01,2015.0,9.0,,,,,,JEDDAH,Under the construction
155, Commercial,1058790791316,"Hotel, Commercial",,2012-11-01,2012.0,11.0,2019-12-31,2019.0,12.0,2616.0,2650.0,JEDDAH,Under the construction
156, Commercial,1058790791316,Commercial,,,,,,,,,3870.0,RIYADH,Under the construction
157, Commercial,1058790791316,"Commercial, Governmental",,2011-01-01,2011.0,1.0,2015-11-19,2015.0,11.0,1783.0,7000.0,AD DIRIYAH,Complete
158, Commercial,1058790791316,"Hotel, Commercial",,2014-09-01,2014.0,9.0,,,,,,JEDDAH,Under the construction
159, Commercial,1058790791316,Commercial,,,,,,,,,80000.0,ALTAIF,Announced
160, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,93000.0,RIYADH,Announced
161, Commercial,1058790791316,Commercial,,2013-04-01,2013.0,4.0,2016-03-31,2016.0,3.0,1095.0,,JEDDAH,Complete
162, Commercial,1058790791316,"Commercial, Health",60000000.0,2017-03-01,2017.0,3.0,2019-03-31,2019.0,3.0,760.0,8887.0,ALHASSA,Late
163, Commercial,1058790791316,Commercial,152358644.0,2015-01-01,2015.0,1.0,,,,,18000.0,ALJUBAIL,Under the construction
164, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,180000.0,RIYADH,Suggested projects
165, Commercial,1058790791316,Commercial,,,,,,,,,36000.0,RIYADH,Under the construction
166, Commercial,1058790791316,Commercial,,,,,,,,,,ALKHOBAR,Announced
167, Commercial,1058790791316,Commercial,,2014-01-01,2014.0,1.0,,,,,,JEDDAH,Under the construction
168, Commercial,1058790791316,Commercial,75000001.0,,,,,,,,3000.0,RIYADH,Suggested projects
169, Commercial,1058790791316,Commercial,,2016-12-01,2016.0,12.0,,,,,5800.0,ALKHOBAR,Under the construction
170, Commercial,1058790791316,Commercial,100000000.0,2006-03-01,2006.0,3.0,2008-09-21,2008.0,9.0,935.0,50000.0,ALKHOBAR,Complete
171, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,2867.0,ALDAMMAM,Announced
172, Commercial,1058790791316,Commercial,,,,,,,,,,RIYADH,Under the construction
173, Commercial,1058790791316,"Hotel, Commercial",200000000.0,,,,,,,,,ALTAIF,Complete
174, Commercial,1058790791316,"Infrastructure, Commercial, Residential, Industrial",,,,,,,,,11000000.0,RIYADH,Under the construction
175, Commercial,1058790791316,Commercial,,,,,,,,,,ALJUBAIL,Announced
176, Commercial,1058790791316,"Commercial, Residential",,2015-01-01,2015.0,1.0,,,,,119324.0,RIYADH,Under the construction
177, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,3700.0,ALKHOBAR,Announced
178, Commercial,1058790791316,Commercial,120000000.0,2017-01-01,2017.0,1.0,2018-03-31,2018.0,3.0,454.0,,ALKHOBAR,Late
179, Commercial,1058790791316,"Commercial, Residential",,2013-10-01,2013.0,10.0,,,,,468000.0,ALDAMMAM,Under the construction
180, Commercial,1058790791316,"Hotel, Commercial",,2009-07-01,2009.0,7.0,2014-10-31,2014.0,10.0,1948.0,10000.0,JEDDAH,Complete
181, Commercial,1058790791316,"Hotel, Commercial",650000000.0,2005-01-01,2005.0,1.0,2008-03-05,2008.0,3.0,1159.0,183000.0,JEDDAH,Complete
182, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Suggested projects
183, Commercial,1058790791316,Commercial,,,,,,,,,9135.0,RIYADH,Under the construction
184, Commercial,1058790791316,"Infrastructure, Commercial",,,,,,,,,14500.0,HAIL,Under the construction
185, Commercial,1058790791316,"Hotel, Commercial, Tourist",950000000.0,2014-05-18,2014.0,5.0,2020-01-01,2020.0,1.0,2054.0,332000.0,JEDDAH,Under the construction
186, Commercial,1058790791316,Commercial,,2008-01-01,2008.0,1.0,2010-09-15,2010.0,9.0,988.0,5820.0,RIYADH,Complete
187, Commercial,1058790791316,"Hotel, Commercial, Governmental, Residential",18000000000.0,2019-03-31,2019.0,3.0,2029-12-31,2029.0,12.0,3928.0,5200000.0,JEDDAH,Announced
188, Commercial,1058790791316,"Hotel, Commercial, Residential",,2017-12-31,2017.0,12.0,2020-12-31,2020.0,12.0,1096.0,160000.0,JEDDAH,Announced
189, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Suggested projects
190, Commercial,1058790791316,"Commercial, Governmental",,,,,,,,,40000.0,JEDDAH,Suggested projects
191, Commercial,1058790791316,Commercial,,2008-07-01,2008.0,7.0,2010-05-31,2010.0,5.0,699.0,,JEDDAH,Complete
192, Commercial,1058790791316,"Hotel, Commercial, Charity",2500000000.0,2003-01-01,2003.0,1.0,2019-12-31,2019.0,12.0,6208.0,21000.0,MEDINA,Stumbled
193, Commercial,1058790791316,Commercial,,,,,,,,,12500.0,RIYADH,Under the construction
194, Commercial,1058790791316,Commercial,,2007-01-01,2007.0,1.0,2009-07-31,2009.0,7.0,942.0,4715.0,JEDDAH,Complete
195, Commercial,1058790791316,Commercial,31500000.0,2016-06-01,2016.0,6.0,2017-04-01,2017.0,4.0,304.0,10000.0,ALHASSA,Complete
196, Commercial,1058790791316,Commercial,,,,,2018-03-01,2018.0,3.0,,,RIYADH,Late
197, Commercial,1058790791316,"Commercial, Residential",,2005-04-16,2005.0,4.0,,,,,3500.0,JEDDAH,Canceled
198, Commercial,1058790791316,"Hotel, Commercial, Residential",,2008-02-01,2008.0,2.0,,,,,47068.0,JEDDAH,Canceled
199, Commercial,1058790791316,Commercial,,,,,,,,,13700.0,ALHASSA,Announced
200, Commercial,1058790791316,"Hotel, Commercial",,2015-04-03,2015.0,4.0,,,,,4300.0,JEDDAH,Under the construction
201, Commercial,1058790791316,Commercial,,2014-10-01,2014.0,10.0,2017-03-31,2017.0,3.0,912.0,4971.0,JEDDAH,Complete
202, Commercial,1058790791316,Commercial,,,,,,,,,10232.0,RIYADH,Under the construction
203, Commercial,1058790791316,Commercial,,2017-07-01,2017.0,7.0,,,,,,ALKHOBAR,Under the construction
204, Commercial,1058790791316,Commercial,,2015-10-01,2015.0,10.0,,,,,,ALKHOBAR,Under the construction
205, Commercial,1058790791316,Commercial,,,,,,,,,4900.0,ALKHOBAR,Announced
206, Commercial,1058790791316,Commercial,,2017-08-01,2017.0,8.0,2018-02-16,2018.0,2.0,199.0,5400.0,KING ABDULLAH CITY,Complete
207, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,9500.0,,Announced
208, Commercial,1058790791316,Commercial,,2012-09-30,2012.0,9.0,2015-10-31,2015.0,10.0,1126.0,,JEDDAH,Complete
209, Commercial,1058790791316,Commercial,,,,,,,,,28000.0,MEDINA,Announced
210, Commercial,1058790791316,"Hotel, Commercial",,2017-05-10,2017.0,5.0,2020-01-31,2020.0,1.0,996.0,,JEDDAH,Under the construction
211, Commercial,1058790791316,"Hotel, Commercial, Tourist, Governmental",,,,,,,,,,RIYADH,Announced
212, Commercial,1058790791316,Commercial,,,,,,,,,11862.0,RIYADH,Under the construction
213, Commercial,1058790791316,Commercial,,,,,,,,,12150.0,ALMUZAHMIYA,Under the construction
214, Commercial,1058790791316,Commercial,,,,,,,,,22696.0,NAJRAN,Under the construction
215, Commercial,1058790791316,Commercial,,,,,,,,,,RIYADH,Under the construction
216, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,,ALDAMMAM,Announced
217, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Announced
218, Commercial,1058790791316,Commercial,,,,,,,,,,JEDDAH,Announced
219, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,,JEDDAH,Announced
220, Commercial,1058790791316,"Hotel, Commercial",1125000000.0,,,,,,,,16000.0,RIYADH,Under the construction
221, Commercial,1058790791316,Commercial,58000000.0,2012-02-11,2012.0,2.0,2016-08-31,2016.0,8.0,1663.0,,JEDDAH,Complete
222, Commercial,1058790791316,Commercial,5000000.0,2017-07-22,2017.0,7.0,2018-07-22,2018.0,7.0,365.0,,ALKHOBAR,Announced
223, Commercial,1058790791316,Commercial,,,,,,,,,3500.0,RIYADH,Under the construction
224, Commercial,1058790791316,Commercial,18750000.0,,,,,,,,9985.0,ALDAMMAM,Suggested projects
225, Commercial,1058790791316,Commercial,,,,,,,,,85000.0,RIYADH,Suggested projects
226, Commercial,1058790791316,"Hotel, Commercial",,,,,2016-12-15,2016.0,12.0,,,MECCA,Complete
227, Commercial,1058790791316,"Infrastructure, Commercial",,,,,,,,,119665.0,RIYADH,Under the construction
228, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,8000.0,RIYADH,Announced
229, Commercial,1058790791316,Commercial,,,,,,,,,850.0,RIYADH,Under the construction
230, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,,RIYADH,Under the construction
231, Commercial,1058790791316,"Hotel, Commercial",,,,,2018-07-31,2018.0,7.0,,1419.0,MECCA,Complete
232, Commercial,1058790791316,Commercial,,2015-01-01,2015.0,1.0,2016-06-30,2016.0,6.0,546.0,16000.0,AD DIRIYAH,Complete
233, Commercial,1058790791316,"Hotel, Commercial, Tourist",,,,,,,,,,RIYADH,Under the construction
234, Commercial,1058790791316,"Commercial, Residential",,,,,,,,,,RIYADH,Under the construction
235, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,43000.0,RIYADH,Announced
236, Commercial,1058790791316,Commercial,,,,,,,,,16000.0,RIYADH,Under the construction
237, Commercial,1058790791316,Commercial,,,,,,,,,,RIYADH,Under the construction
238, Commercial,1058790791316,Commercial,,,,,,,,,,RIYADH,Under the construction
239, Commercial,1058790791316,"Commercial, Tourist",,2017-04-01,2017.0,4.0,2018-12-31,2018.0,12.0,639.0,50000.0,RIYADH,Late
240, Commercial,1058790791316,Commercial,,,,,,,,,9000.0,RIYADH,Under the construction
241, Commercial,1058790791316,"Hotel, Commercial, Tourist, Residential",,,,,,,,,1840000.0,RIYADH,Stumbled
242, Commercial,1058790791316,"Hotel, Commercial, Residential",,,,,,,,,,ALKHOBAR,Suggested projects
243, Commercial,1058790791316,"Commercial, Residential",1000000000.0,1980-09-01,1980.0,9.0,1987-12-31,1987.0,12.0,2677.0,,JEDDAH,Complete
244, Commercial,1058790791316,Commercial,,,,,,,,,7000.0,ARRASS,Under the construction
245, Commercial,1058790791316,Commercial,,,,,,,,,24000.0,RIYADH,Under the construction
246, Commercial,1058790791316,Commercial,,,,,,,,,,RIYADH,Under the construction
247, Commercial,1058790791316,"Hotel, Commercial",,,,,,,,,5000.0,RIYADH,Under the construction
248, Commercial,1058790791316,Commercial,,2008-07-01,2008.0,7.0,2010-12-31,2010.0,12.0,913.0,,JEDDAH,Complete
249, Commercial,1058790791316,"Hotel, Commercial",,2017-07-01,2017.0,7.0,,,,,,ALDAMMAM,Under the construction
