sectors,sector_budgets,sector_num_projects,name_project,type_project,budget_project,startday_project,enddate_project,area_project,region_project,status_project
 تجاري,1058790791316,902,إسكان أفنيو درة الرياض – Avenue Durrat Arriyadh                  ,"تجاري, سكني",,,,17.000 مترمربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,العسكر افنيو مول – Al Askar Avenue Mall                  ,"تجاري, ترفيهي/سياحي",,15-01-2017,,20.000 مترمربع,"منطقة الرياض, الخرج",تحت الإنشاء
 تجاري,1058790791316,902,تطوير جبل الشراشف – Al Sharashif Development                  ,"فندقي, البنية التحتية, تجاري, سكني",,,,"9,714,000","مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,تطوير قوز النكاسة – Nakkasa Development                  ,"فندقي, تجاري, سكني",,,,"469,612 متر مربع","مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,درب المشاعر – Darb Al Mashaer                  ,"فندقي, تجاري, حكومي, سكني",7000000000.0,,,"98,562 متر مربع","مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,تطوير جبل محبس الجن – Jabal Mahbas El Jin Development                  ,"فندقي, تجاري, سكني, صحي",,,,"500,000","مكة المكرمة, منطقة مكة المكرمة",المشاريع المقترحة
 تجاري,1058790791316,902,سنترو الخرج – Centro Al-Kharj                  ,تجاري,,01-03-2016,31-12-2016,34000 مترمربع,"منطقة الرياض, الخرج",مكتمل
 تجاري,1058790791316,902,عنيزة بلازا – UNAYZAH PLAZA                  ,تجاري,,17-12-2016,31-07-2017,15.053 مترمربع,"منطقة القصيم, عنيزة",مكتمل
 تجاري,1058790791316,902,الفراشة – The Butterfly                  ,"تجاري, سكني",,01-04-2010,,"7,072","منطقة الرياض, الرياض",متعثر
 تجاري,1058790791316,902,الشرفة – The Terraces                  ,"تجاري, سكني",,01-01-2010,,"4,500","منطقة الرياض, الرياض",متعثر
 تجاري,1058790791316,902,بوابة الاعمال – Business Gate                  ,تجاري,,01-01-2009,31-05-2013,"29,000","المنطقة الشرقية, الدمام",مكتمل
 تجاري,1058790791316,902,مصنع اسمنت اليمامة الجديد – New Yamama Cement Factory                  ,"تجاري, صناعي",4200000000.0,01-03-2015,30-06-2018,12.000.000 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,مكاتب إدارية خاصة – VIPOFFICES                  ,تجاري,,,31-01-2017,870,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,ابراج السبيعي الخبر – Al Subeaei Towers                  ,"تجاري, سكني",84000000.0,,01-01-2005,٣٩،٠٠٠ مترمربع,"المنطقة الشرقية, الخبر",مكتمل
 تجاري,1058790791316,902,إعمار سكوير – Emaar Square                  ,تجاري,,01-07-2014,31-01-2017,,"منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,موڤنبيك حراء – Mövenpick Heraa                  ,"فندقي, تجاري",,,31-03-2019,"10,200","منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,مقر شركة فواز الحكير – Fawaz Al Hokair Company Headquarters                  ,تجاري,,,,60.000 مترمربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,القويعية مول – AlQuwayiyah Mall                  ,"تجاري, ترفيهي/سياحي",,01-05-2016,,66.000 مترمربع,"منطقة الرياض, القويعية",تحت الإنشاء
 تجاري,1058790791316,902,فندق فينو – Venu Hotel                  ,"فندقي, تجاري, سكني",,01-01-2015,,"30,837","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,الوادي بلازا – WADI PLAZA                  ,تجاري,,,01-11-2015,16.000 مترمربع,"وادي الدواسر, منطقة الرياض",مكتمل
 تجاري,1058790791316,902,جاردن بلازا المدينة المنورة – Garden Plaza Medina                  ,تجاري,,01-01-2015,,10.000 مترمربع,"منطقة المدينة المنورة, المدينة المنورة",تحت الإنشاء
 تجاري,1058790791316,902,ضباء بلازا – DUBA PLAZA                  ,تجاري,,,01-12-2016,15.000 مترمربع,"منطقة تبوك, ضبا",مكتمل
 تجاري,1058790791316,902,بوقنڤيليا جدة – Bougainvillea Jeddah                  ,تجاري,,01-01-2007,29-02-2012,"4,000","منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,مركز عمليات مصرف الراجحي – Al Rajhi Bank Operations Center                  ,تجاري,,01-11-2013,,32.000 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,الفارسي بلازا المونسية – AlFarsi Plaza-Al Munsiyah                  ,"تجاري, ترفيهي/سياحي",,,,6000 مترمربع,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,برج الخير – AlKhair Tower                  ,تجاري,,01-05-2011,29-02-2016,"6,700","منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,ذا جراند – The Grand                  ,"تجاري, سكني",,01-01-2017,,"3,133 متر مربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مركز الربيع التجاري – Arrabih Commercial Center                  ,تجاري,,01-02-2014,31-08-2016,"10,000 متر مربع","منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,برانده الدمام – Brandah Dammam                  ,تجاري,5000000.0,,,"9,985","المنطقة الشرقية, الدمام",تحت الإنشاء
 تجاري,1058790791316,902,فينتورا – Ventora                  ,تجاري,,,,,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,فندق النخيل بي – Alnakhel B Hotel                  ,"فندقي, تجاري",,,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,بنايات سنتر – Binayat Center                  ,تجاري,,,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مجمع تجاري                  ,تجاري,,,,,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,مياسم – Mayasem                  ,"فندقي, تجاري, تعليمي, سكني",,01-04-2014,,,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,جبل خندمة – Jabal Khandamah                  ,"فندقي, تجاري, سكني, صحي",,01-07-2018,31-12-2030,"910,000","مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,مجمع ivy square                  ,تجاري,,,,750 متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مجمع متعدد الإستخدامات – Mixed Use Complex                  ,"فندقي, تجاري, سكني",234000000.0,01-01-2016,,"220,000","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مجمع سكني – Condominium                  ,"تجاري, سكني",,01-01-2016,,"67,600","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مركز الأعمال – Bay View Business Park                  ,تجاري,,,31-12-2015,"120,000","منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",مكتمل
 تجاري,1058790791316,902,مركز ماسك للأعمال – MASIC Business Center                  ,تجاري,,01-06-2015,,3840 متر مربع,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مبنى إداري تجاري – Commercial Building                  ,تجاري,,01-08-2014,31-05-2018,2260 متر مربع,"منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,مجمع النورس السكني – Nawras Residential Complex                  ,"تجاري, سكني",430000000.0,,,,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,لافيردا – Laverda                  ,تجاري,,,,4700 متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,بفيليون الخبر – Pavilion Al Khobar                  ,تجاري,,01-02-2015,31-12-2018,"10,000 متر مربع","المنطقة الشرقية, الخبر",مكتمل
 تجاري,1058790791316,902,مقر شركة الفهاد للسفر والسياحة                  ,تجاري,700000.0,01-03-2017,01-06-2017,500 مترمربع,الرياض,متأخر
 تجاري,1058790791316,902,فندق آل مسعد – ALMASAAD HOTEL                  ,"فندقي, تجاري",,24-12-2015,01-06-2017,,"ينبع, منطقة المدينة المنورة",متأخر
 تجاري,1058790791316,902,جميل سكوير – Jamel Square                  ,تجاري,,01-08-2006,01-07-2009,"7,500","منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,برج الشيخ يوسف محمد ناغي – Shikh Yousif Naghi Tower                  ,تجاري,,01-12-2014,,,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,الرياض بروميناد – Riyadh Promenade                  ,"تجاري, ترفيهي/سياحي, سكني",,,,"40,000 مترمربع","منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,درة الهدا السكني – DURRAT AL HADA                  ,"تجاري, سكني",,01-08-2017,,"229,685 مترمربع","منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,برج العيسائي – Al Esayi Tower                  ,تجاري,100000000.0,09-12-2007,31-12-2014,"1,280","منطقة مكة المكرمة, جدة",متعثر
 تجاري,1058790791316,902,فندق الفالح – Alfaleh Hotel                  ,"فندقي, تجاري",,,,3200 متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,منتجع بوابة الصحراء – Desert Gate Resort                  ,"فندقي, تجاري, سكني",,,,180 الف متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,ليقيندا الخبر – Legenda Khobar                  ,"تجاري, رياضي",,01-05-2015,,,"المنطقة الشرقية, الخبر",تحت الإنشاء
 تجاري,1058790791316,902,مجمع الهدا السكني – AL HADA COMPOUND                  ,"تجاري, سكني",,,,"37,000 مترمربع","منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,مانسارد – Mansard                  ,"فندقي, تجاري, سكني",,01-01-2015,31-12-2017,,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,جادة الشفا – Alshefa Boulevard                  ,"فندقي, البنية التحتية, تجاري, ترفيهي/سياحي, حكومي",90000000.0,,,6 كم مربع,"مكة المكرمة, الطائف",تحت الإنشاء
 تجاري,1058790791316,902,منتجع وادي الهدا – Wadi Al Hada Resorts                  ,"تجاري, سكني",,01-12-2017,,214.992 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,الواحة مول الحمدانية – Oasis Mall Hamdaniya                  ,تجاري,,,01-03-2019,"28,882 مترمربع","منطقة مكة المكرمة, جدة",متأخر
 تجاري,1058790791316,902,سُكنى – Sukna                  ,"تجاري, حكومي, ديني/خيري, رياضي, سكني",,01-11-2016,31-12-2020,"1,414,221","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مبني تجاري فندقي                  ,"فندقي, تجاري",,,,4222 متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مبني تجاري اداري                  ,تجاري,,,,4600 متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مبنى تجاري                  ,تجاري,,,,5033 متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,تركي سكوير – Turki Square                  ,تجاري,,01-11-2014,30-04-2018,2753 متر مربع,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,سيتي لايف بلازا – المونسية – الرياض  City life plaza –...                  ,تجاري,,10-07-2016,01-05-2017,14.000 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,المكان بلازا الأفلاج                  ,تجاري,,01-01-2015,15-10-2015,11.104 مترمربع,"منطقة الرياض, الأفلاج",مكتمل
 تجاري,1058790791316,902,برج الحقيط –  Hugayet Tower                  ,تجاري,100000000.0,01-06-2005,01-09-2009,"8,000","المنطقة الشرقية, الخبر",مكتمل
 تجاري,1058790791316,902,مركز إبراهيم – Ibrahim Center                  ,تجاري,,01-01-2015,31-12-2018,"7,100 متر مربع","منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,سوق حطين – Hiteen Souk                  ,تجاري,,,,7767 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,بلازو – Palazzo                  ,تجاري,,01-03-2016,30-11-2016,5936 متر مربع,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,مجمع مطاعم ومكاتب مقترح 2                  ,تجاري,,,,,"منطقة الرياض, الرياض",المشاريع المقترحة
 تجاري,1058790791316,902,مجمع مطاعم ومكاتب مقترح 1                  ,تجاري,,,,5100 متر مربع,"منطقة الرياض, الرياض",المشاريع المقترحة
 تجاري,1058790791316,902,ميليز بوليڤارد – Melez BLVD                  ,تجاري,,,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مجمع مطاعم طريف                  ,تجاري,,,,4096 متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,الراشد ميجا مول – Alrashid Mega Mall                  ,"فندقي, تجاري",300000000.0,01-12-2013,,142000,"منطقة عسير, أبها",تحت الإنشاء
 تجاري,1058790791316,902,مقر شركة دهانات الجزيرة                  ,تجاري,,,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مجمع ليفيلز                  ,تجاري,,,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,جزر البندقية – Venice Island                  ,"البنية التحتية, تجاري, ترفيهي/سياحي, سكني, صحي",1000000000.0,,,36000000,"منطقة مكة المكرمة, جدة",متعثر
 تجاري,1058790791316,902,منتجع شلالة – SHLALAH RESORTS                  ,"تجاري, سكني",,,30-06-2017,35.000 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,فندق إنديجو الرياض المركز المالي – Indigo Hotel Riyadh KAFD                  ,"فندقي, تجاري",,01-03-2012,30-11-2017,18.980 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,جراند ويندهام الرياض المركز المالي – Wyndham Grand Riyadh KAFD...                  ,"فندقي, تجاري",,01-01-2010,01-01-2018,"21,307 مترمربع","منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,الانتركونتننتال المركز المالي – InterContinental KAFD                  ,"فندقي, تجاري",,15-12-2014,31-12-2017,6.118 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,مبنى الزوايا البيضاء – White Angles Square                  ,تجاري,,25-06-2017,,1650 مترمربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,فندق تايم الرياض – TIME Hotel Riyadh                  ,"فندقي, تجاري",,,31-12-2017,,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,برج مكتبي – Office Tower                  ,تجاري,,,,,"منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,راديسون بلو الخبر – Radisson Blu Al Khobar                  ,"فندقي, تجاري",,01-09-2016,,"13,605مترمربع","المنطقة الشرقية, الخبر",تحت الإنشاء
 تجاري,1058790791316,902,الجادة – ALJADDAH                  ,"فندقي, تجاري",,01-10-2016,,21.666 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مركز ديم التجاري – Deem commercial center                  ,تجاري,,01-11-2016,31-10-2018,18.000 مترمربع,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,الحمراء جرووف – Al Hamra Groov                  ,"تجاري, ترفيهي/سياحي",,,31-12-2017,8.500 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,ذا بلازا ريزيدنس – The Plaza Residence                  ,"تجاري, سكني",,,,4800 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مجمع الفيفا – Fayfa                  ,تجاري,,,,,"منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,مجمع القحطاني – AlQahtani Complex                  ,"تجاري, سكني",,,,,"المنطقة الشرقية, الخبر",المشاريع المقترحة
 تجاري,1058790791316,902,المستشفى السعودي الألماني مكة المكرمة – Saudi German Hospital...                  ,"تجاري, تعليمي, صحي",1500000000.0,,,58.000 مترمربع,"مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,ضواحي مركز الملك عبدالله المالي – KAFD Enviros Development                  ,"البنية التحتية, تجاري, ترفيهي/سياحي, ديني/خيري, سكني",,,,5000000,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,مشروع مضمار سباق في الخرج – Race Track Project                  ,"تجاري, ترفيهي/سياحي",,,,"105,403.52 مترمربع","منطقة الرياض, الخرج",معلن عنه
 تجاري,1058790791316,902,فندق الموسى – ALMOSA HOTEL                  ,"فندقي, تجاري",,01-03-2017,,1500 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,البنك المركزي الخليجي – Gulf Cooperation Council Bank                  ,تجاري,,,,,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,فندق املج – UMLOJ Hotel                  ,"فندقي, تجاري",,01-11-2016,,20.000 مترمربع,"منطقة تبوك, أملج",تحت الإنشاء
 تجاري,1058790791316,902,مركز التجارة العالمي – World Trade Center                  ,تجاري,900000000.0,,,,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,أبحر بلازا – Obhur Plaza                  ,تجاري,,,30-04-2018,25.996 مترمربع,"منطقة مكة المكرمة, جدة",متأخر
 تجاري,1058790791316,902,الروابي بلازا – AL RAWABI PLAZA                  ,"تجاري, ترفيهي/سياحي",,01-01-2017,31-05-2017,15.353 مترمربع,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,برج هرفي المكتبي                  ,تجاري,,,,,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,كورت يارد ماريوت الخبر – Marriott Courtyard Khobar                  ,"فندقي, تجاري",,,31-07-2019,"47,110 مترمربع","المنطقة الشرقية, الخبر",متأخر
 تجاري,1058790791316,902,مكاتب إدارية خاصة VIP                  ,تجاري,,01-08-2015,31-01-2017,870 مترمربع,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,دينا سكوير – Dina Square                  ,تجاري,,01-10-2016,01-09-2017,"15,118 مترمربع","منطقة مكة المكرمة, جدة",متأخر
 تجاري,1058790791316,902,المسرة سكوير – Al-Massara Square                  ,"فندقي, تجاري",,01-06-2017,,8047 مترمربع,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مجمع حديقة الورود 2 -2 Rose Garden complex                  ,تجاري,,01-03-2017,,6000 متر مربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,أرينا بارك – Arena Park                  ,"تجاري, ترفيهي/سياحي",,,01-09-2019,248.000 مترمربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,مبنى بنك ساب في جدة                  ,تجاري,,,,6765 متر مربع,"منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,أبراج البيت 58 – Al-Bayt 58 Tower                  ,"تجاري, سكني",,01-11-2017,,23812 متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,لو جاردان دو الرياض – Le Jardin d’Eau Riyadh                  ,"فندقي, تجاري, ترفيهي/سياحي",33000000000.0,,,,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,السلام مول – Salam Mall                  ,"فندقي, تجاري, سكني",130000000.0,,,"328,516 متر مربع","منطقة مكة المكرمة, جدة",مكتمل
 تجاري,1058790791316,902,مركز الروضة – Rawda Center                  ,تجاري,,,,"9,000","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,الشاطيء بارك للأعمال – Al Shatee Business Park                  ,تجاري,,,,"21,900","منطقة مكة المكرمة, جدة",المشاريع المقترحة
 تجاري,1058790791316,902,المغرزات بلازا – AL MUGHAREZAT PLAZA                  ,تجاري,,01-01-2017,27-07-2017,15.000مترمربع,"منطقة الرياض, الرياض",مكتمل
 تجاري,1058790791316,902,مجمع المكرونة السكني – Al Makarona Community                  ,"تجاري, سكني",,,,"9,800","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,الياسمين بلازا                  ,تجاري,,,,12780 متر مربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مقر الادارة العامة لشركة أملاك العالمية                  ,تجاري,,,,1050 متر مربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,برج كريستال تاور جدة – Burj Crystal Tower Jeddah                  ,تجاري,,01-05-2014,31-12-2017,"2,200 مترمربع","منطقة مكة المكرمة, جدة",متأخر
 تجاري,1058790791316,902,يونيون سكوير الخبر – Union Square Al-Khobar                  ,"فندقي, تجاري, ترفيهي/سياحي, سكني",,,,49.813 مترمربع,"المنطقة الشرقية, الخبر",معلن عنه
 تجاري,1058790791316,902,مجمع بلاتين سنتر  – Platinun Center Complex                  ,"تجاري, ترفيهي/سياحي",,01-07-2015,01-09-2017,4300 مترمربع,"منطقة القصيم, بريدة",مكتمل
 تجاري,1058790791316,902,هيلتون جاردن إن الأحساء –  Hilton Garden Inn™ Al Ahsa                  ,"فندقي, تجاري",,01-07-2014,30-06-2018,6.500 مترمربع,"المنطقة الشرقية, الأحساء",متأخر
 تجاري,1058790791316,902,لولو مول الأحساء – Lulu Mall Al Ahsa                  ,"تجاري, ترفيهي/سياحي",,01-07-2014,26-04-2017,"56,000 مترمربع","المنطقة الشرقية, الأحساء",مكتمل
 تجاري,1058790791316,902,هيلتون® الإحساء – Hilton Al Ahsa                  ,"فندقي, تجاري",,01-12-2013,01-04-2018,18.000 مترمربع,"المنطقة الشرقية, الأحساء",متأخر
 تجاري,1058790791316,902,مركز الاحساء التجاري – AlAhsa Centre                  ,"فندقي, تجاري",,10-10-2013,10-10-2017,10.441 مترمربع,الأحساء,متأخر
 تجاري,1058790791316,902,واجهة التسوق –  Shopping Front                  ,"فندقي, تجاري, ترفيهي/سياحي",,01-01-2016,31-12-2018,180.000 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,برجين سكني وتجاري في الرياض                  ,"تجاري, سكني",,,,,"منطقة الرياض, الرياض",المشاريع المقترحة
 تجاري,1058790791316,902,واجهة الأعمال – Business Front                  ,"فندقي, تجاري",,,,200.000 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,برج بنك ساب – SABB Bank Tower                  ,تجاري,,01-01-2018,01-01-2020,55.600 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,ضاحية الاصفر في الأحساء –  Dahyat Al Asfar in Al-Ahsa                  ,"البنية التحتية, تجاري, حكومي",,,,55.000.000 مترمربع,"المنطقة الشرقية, الأحساء",معلن عنه
 تجاري,1058790791316,902,أبتاون مكة – Uptown Makkah                  ,"تجاري, سكني",,,,,"مكة المكرمة, منطقة مكة المكرمة",معلن عنه
 تجاري,1058790791316,902,افينيو مول ابحر – Avenue Mall Abhor                  ,"فندقي, تجاري, ترفيهي/سياحي, سكني, صحي",,01-08-2016,,169.684 مترمربع,"منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مجمع حديقة الورود – Rose Garden complex                  ,تجاري,,,,3.600 متر مربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,تطوير حي الدحو – Addoho Quarter Renewal                  ,"فندقي, البنية التحتية, تجاري, ترفيهي/سياحي, حكومي",,,,10 acres,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,برج شركة المياه الوطنية – NWC Tower                  ,"تجاري, حكومي",,,,3750 مترمربع,"منطقة الرياض, الرياض",المشاريع المقترحة
 تجاري,1058790791316,902,كمباوند الغدير – Alghadeer compound                  ,"تجاري, سكني",,,,6000 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مجمع مطاعم اورا – Aura Restaurants Complex                  ,"تجاري, ترفيهي/سياحي",,01-01-2017,,10.600 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مجمع مطاعم شاندلير – Chandelier Restaurants Complex                  ,"تجاري, ترفيهي/سياحي",,01-09-2016,,4200 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
 تجاري,1058790791316,902,مدينة الأحلام                  ,"فندقي, البنية التحتية, تجاري, ترفيهي/سياحي, تعليمي, ديني/خيري, رياضي, سكني, صحي",4000000000.0,,,"800,000","منطقة عسير, خميس مشيط",معلن عنه
 تجاري,1058790791316,902,دبل تري هيلتون بريدة – DoubleTree by Hilton™Buraydah                  ,"فندقي, تجاري",,,,8000 مترمربع,"منطقة القصيم, بريدة",معلن عنه
 تجاري,1058790791316,902,مركز المحمل التجاري                  ,تجاري,,,01-08-2016,,"المنطقة الشرقية, الدمام",مكتمل
 تجاري,1058790791316,902,مستشفى د.سليمان الحبيب بجدة – Dr. Sulaiman AL-Habib Hospital in Jeddah...                  ,"تجاري, صحي",,01-08-2018,,"21,200 مترمربع","منطقة مكة المكرمة, جدة",تحت الإنشاء
 تجاري,1058790791316,902,مركز كليمنصو الطبي الرياض –  CLEMENCEAU MEDICAL CENTER RIYADH                  ,"تجاري, صحي",450000000.0,01-01-2016,01-08-2018,6.500 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,سنترال بارك الرياض – Riyadh Central Park                  ,"فندقي, تجاري, ترفيهي/سياحي",,,,2 مليون م2,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,مستشفى الشرق الأوسط الرياض – Middle East Hospital Riyadh                  ,"تجاري, صحي",,01-09-2016,01-11-2019,141.320 مترمربع,"منطقة الرياض, الرياض",معلن عنه
 تجاري,1058790791316,902,توسعة مستشفى الرعايه بروكير الخبر – Procare Hospital Expansion...                  ,"تجاري, صحي",100000000.0,01-08-2015,01-03-2017,"20,587 مترمربع","المنطقة الشرقية, الخبر",مكتمل
 تجاري,1058790791316,902,مستشفى ميديسينا جدة –  MEDICENA HOSPITAL JEDDAH                  ,"تجاري, صحي",,,,3.000.000 مترمربع,"منطقة مكة المكرمة, جدة",معلن عنه
 تجاري,1058790791316,902,مستشفى المواساة بالخبر – Mouwasat Hospital Al Khobar                  ,"تجاري, صحي",440000000.0,01-07-2015,01-03-2019,53.979 مترمربع,"المنطقة الشرقية, الخبر",متأخر
 تجاري,1058790791316,902,مدينة البترجي الطبية في الدمام – THE BATTERJEE MEDICAL CITY IN DAMMA...                  ,"تجاري, صحي",4000000000.0,01-10-2016,01-11-2018,90.000 مترمربع,"المنطقة الشرقية, الدمام",متأخر
 تجاري,1058790791316,902,توسعة غرناطة مول – Granada Mall Extension                  ,"تجاري, ترفيهي/سياحي",336000000.0,,01-11-2018,67.500 مترمربع,"منطقة الرياض, الرياض",متأخر
 تجاري,1058790791316,902,مجمع العضيب – Alodhaib Complex                  ,"فندقي, تجاري, ترفيهي/سياحي",,,,14.000 مترمربع,"منطقة القصيم, بريدة",المشاريع المقترحة
 تجاري,1058790791316,902,النخلة مول بريدة – Al Nakhla Mall Buraidah                  ,"تجاري, ترفيهي/سياحي",,,31-12-2017,16.000 مترمربع,"منطقة القصيم, بريدة",متأخر
 تجاري,1058790791316,902,مستشفى السلام – AL SALAM HOSPITAL                  ,"تجاري, صحي",488000000.0,19-10-2016,01-11-2018,50.000 مترمربع,"المنطقة الشرقية, الخبر",متأخر
 تجاري,1058790791316,902,مستشفى سند – Sanad Hospital                  ,"تجاري, صحي",,,,10.200 مترمربع,"منطقة الرياض, الرياض",تحت الإنشاء
